id	parent_id	child_id	relationship_type	notes	created_at
1	5	3	biological	NULL	2026-03-26 21:35:22
2	6	3	biological	NULL	2026-03-26 21:37:22
3	5	7	biological	NULL	2026-03-26 21:41:06
4	6	7	biological	NULL	2026-03-26 21:41:19
5	5	8	biological	NULL	2026-03-26 21:41:42
6	6	8	biological	NULL	2026-03-26 21:41:52
7	3	9	biological	NULL	2026-03-26 21:42:32
8	3	10	biological	NULL	2026-03-26 21:43:17
9	3	11	biological	NULL	2026-03-26 21:44:08
13	4	9	biological	NULL	2026-03-26 21:59:25
14	4	10	biological	NULL	2026-03-26 21:59:33
15	4	11	biological	NULL	2026-03-26 21:59:39
18	103	102	biological	NULL	2026-04-01 08:32:57
19	104	102	biological	NULL	2026-04-01 08:38:45
20	102	105	biological	NULL	2026-04-01 09:46:34
21	102	107	biological	NULL	2026-04-01 09:48:22
22	102	108	biological	NULL	2026-04-01 09:49:21
23	103	109	biological	NULL	2026-04-01 09:51:50
24	104	110	biological	NULL	2026-04-01 09:53:16
25	106	108	biological	NULL	2026-04-01 10:05:13
26	106	107	biological	NULL	2026-04-01 10:05:41
27	106	105	biological	NULL	2026-04-01 10:05:59
28	104	109	biological	NULL	2026-04-01 10:06:36
29	103	110	biological	NULL	2026-04-01 10:07:06
30	109	112	biological	NULL	2026-04-01 10:11:46
31	109	113	biological	NULL	2026-04-01 10:12:24
32	109	114	biological	NULL	2026-04-01 10:14:06
33	111	112	biological	NULL	2026-04-01 10:19:18
34	111	113	biological	NULL	2026-04-01 10:19:26
35	111	114	biological	NULL	2026-04-01 10:19:35
36	115	5	biological	NULL	2026-04-01 12:03:31
37	115	103	biological	NULL	2026-04-01 12:04:24
38	115	117	biological	NULL	2026-04-01 12:06:16
39	116	117	biological	NULL	2026-04-01 12:07:43
40	116	5	biological	NULL	2026-04-01 12:09:19
41	116	103	biological	NULL	2026-04-01 12:12:15
42	117	118	biological	NULL	2026-04-01 12:17:18
43	118	119	biological	NULL	2026-04-01 12:18:34
44	117	120	biological	NULL	2026-04-01 12:20:58
45	117	121	biological	NULL	2026-04-01 12:22:43
46	122	120	biological	NULL	2026-04-01 12:36:41
47	122	121	biological	NULL	2026-04-01 12:37:32
48	122	118	biological	NULL	2026-04-01 12:37:46
49	121	123	biological	NULL	2026-04-01 12:41:22
50	124	123	biological	NULL	2026-04-01 12:45:28
